Tick;Step;DateTime;Area;Camp;Crop_YieldA;Crop_YieldB;Fire_Data;Harvest_Data;Latitude;Longitude;Patch_ID;Patch_Population;test_count;X;Y;ID
42;42;2000-10-21T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;780625;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
43;43;2000-10-28T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;807512;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
44;44;2000-11-04T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;834192;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
45;45;2000-11-11T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;860752;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
46;46;2000-11-18T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;887480;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
47;47;2000-11-25T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;914342;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
48;48;2000-12-02T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;941373;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
49;49;2000-12-09T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;968457;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
50;50;2000-12-16T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;995577;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
51;51;2000-12-23T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1022530;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
